strain	accession	subtype	date	host	country	region	species	broad	order
A/swine/Iowa/A02861998/2023	OR957854	H3N1	2023-11-06	Swine	Usa	?	Swine	swine	Swine
A/swine/Nebraska/I80400/2023	OR763753	H3N1	2023-08-27	Swine	Usa	?	Swine	swine	Swine
A/swine/Ohio/OH20-3284/2020	OQ759638	H3N1	2020-02-18	Swine	Usa	?	Swine	swine	Swine
A/mallard/NewYork/AH0179440/2021	OL539653	H3N1	2021-09-07	Avian	Usa	?	Chicken	chicken	Anseriformes
A/swine/Iowa/A02636169/2021	OL331212	H3N1	2021-09-20	Swine	Usa	?	Swine	swine	Swine
A/swine/Spain/46314-2/2020	MW848635	H3N1	2020-04-30	Swine	Spain	?	Swine	swine	Swine
A/swine/Oklahoma/A02246451/2021	MZ666822	H3N1	2021-05-26	Swine	Usa	?	Swine	swine	Swine
A/swine/Kansas/A02245738/2020	MW205527	H3N1	2020-10-09	Swine	Usa	?	Swine	swine	Swine
A/swine/Minnesota/A02245708/2020	MW075250	H3N1	2020-09-02	Swine	Usa	?	Swine	swine	Swine
A/swine/Iowa/A02479075/2020	MT232784	H3N1	2020-02-19	Swine	Usa	?	Swine	swine	Swine
A/swine/Iowa/A02479022/2020	MT077027	H3N1	2020-01-22	Swine	Usa	?	Swine	swine	Swine
A/swine/Missouri/A02978606/2023	PP086597	H3N2	2023-11-09	Swine	Usa	?	Swine	swine	Swine
A/swine/Minnesota/A02978617/2023	PP086599	H3N2	2023-11-13	Swine	Usa	?	Swine	swine	Swine
A/swine/Minnesota/A02978605/2023	PP086611	H3N2	2023-11-06	Swine	Usa	?	Swine	swine	Swine
A/swine/Minnesota/A02978669/2023	PP086635	H3N2	2023-12-19	Swine	Usa	?	Swine	swine	Swine
A/swine/Minnesota/A02978603/2023	PP086637	H3N2	2023-11-06	Swine	Usa	?	Swine	swine	Swine
A/Michigan/MIS-L371012634/2023	PP071685	H3N2	2023-11-01	Human	Usa	?	Human	human	Human
A/swine/Oklahoma/A02862086/2023	PP076758	H3N2	2023-11-29	Swine	Usa	?	Swine	swine	Swine
A/swine/Nebraska/A02862087/2023	PP076760	H3N2	2023-11-29	Swine	Usa	?	Swine	swine	Swine
A/swine/Iowa/A02862090/2023	PP076764	H3N2	2023-11-29	Swine	Usa	?	Swine	swine	Swine
A/swine/NorthCarolina/A02862112/2023	PP076770	H3N2	2023-12-06	Swine	Usa	?	Swine	swine	Swine
A/duck/China/403D49/2020	MW368609	H3N2	2020-01-02	Avian	China	?	Duck	duck	Anseriformes
A/swine/SouthKorea/0028-1/2022	OR733507	H3N2	2022-XX-XX	Swine	South korea	?	Swine	swine	Swine
A/swine/SouthKorea/0350/2021	OR733510	H3N2	2021-XX-XX	Swine	South korea	?	Swine	swine	Swine
A/swine/SouthKorea/0723-1/2021	OR733511	H3N2	2021-XX-XX	Swine	South korea	?	Swine	swine	Swine
A/swine/SouthKorea/0810/2021	OR733513	H3N2	2021-XX-XX	Swine	South korea	?	Swine	swine	Swine
A/swine/Iowa/A02862034/2023	PP025385	H3N2	2023-11-14	Swine	Usa	?	Swine	swine	Swine
A/swine/Pennsylvania/A02862094/2023	PP025407	H3N2	2023-11-29	Swine	Usa	?	Swine	swine	Swine
A/swine/Nebraska/A02862068/2023	PP025409	H3N2	2023-11-28	Swine	Usa	?	Swine	swine	Swine
A/swine/Iowa/A02862080/2023	PP025429	H3N2	2023-11-28	Swine	Usa	?	Swine	swine	Swine
A/swine/Missouri/A02861950/2023	OR957802	H3N2	2023-10-25	Swine	Usa	?	Swine	swine	Swine
A/swine/Iowa/A02861979/2023	OR957838	H3N2	2023-10-31	Swine	Usa	?	Swine	swine	Swine
A/swine/Iowa/A02861989/2023	OR957850	H3N2	2023-10-30	Swine	Usa	?	Swine	swine	Swine
A/swine/Iowa/A02862012/2023	OR957876	H3N2	2023-11-07	Swine	Usa	?	Swine	swine	Swine
A/swine/Iowa/A02862017/2023	OR957884	H3N2	2023-11-07	Swine	Usa	?	Swine	swine	Swine
A/swine/Kansas/A02862030/2023	OR957904	H3N2	2023-11-10	Swine	Usa	?	Swine	swine	Swine
A/Human/NewYorkCity/PV63353/2022	OQ059053	H3N2	2022-10-31	Human	Usa	?	Human	human	Human
A/Human/NewYorkCity/PV63345/2022	OQ059100	H3N2	2022-10-27	Human	Usa	?	Human	human	Human
A/Human/NewYorkCity/PV63355/2022	OQ059148	H3N2	2022-10-29	Human	Usa	?	Human	human	Human
A/swine/NorthCarolina/A02861997/2023	OR887651	H3N2	2023-11-14	Swine	Usa	?	Swine	swine	Swine
A/swine/Iowa/A02861925/2023	OR840637	H3N2	2023-10-18	Swine	Usa	?	Swine	swine	Swine
A/swine/Iowa/A02861878/2023	OR792150	H3N2	2023-10-05	Swine	Usa	?	Swine	swine	Swine
A/swine/Iowa/A02861882/2023	OR792152	H3N2	2023-10-05	Swine	Usa	?	Swine	swine	Swine
A/swine/Ohio/23TOSU0495/2023	OR778893	H3N2	2023-02-04	Swine	Usa	?	Swine	swine	Swine
A/swine/Indiana/A02861862/2023	OR773111	H3N2	2023-10-03	Swine	Usa	?	Swine	swine	Swine
A/swine/Pennsylvania/A02861876/2023	OR774985	H3N2	2023-10-09	Swine	Usa	?	Swine	swine	Swine
A/canine/Texas/M23-02041-5-1/2023	OR737661	H3N2	2023-01-20	Canis	Usa	?	Canine	canine	Canine
A/California/78/2023	OR750195	H3N2	2023-08-01	Human	Usa	?	Human	human	Human
A/swine/Iowa/A02861833/2023	OR700556	H3N2	2023-09-25	Swine	Usa	?	Swine	swine	Swine
A/swine/Indiana/A02861847/2023	OR700582	H3N2	2023-09-29	Swine	Usa	?	Swine	swine	Swine
A/swine/Iowa/A02861853/2023	OR700590	H3N2	2023-09-29	Swine	Usa	?	Swine	swine	Swine
A/swine/Kansas/A02978545/2023	OR636696	H3N2	2023-08-17	Swine	Usa	?	Swine	swine	Swine
A/California/70/2023	OR627932	H3N2	2023-07-11	Human	Usa	?	Human	human	Human
A/swine/Iowa/A02861774/2023	OR606515	H3N2	2023-08-31	Swine	Usa	?	Swine	swine	Swine
A/swine/Missouri/A02861751/2023	OR597062	H3N2	2023-09-01	Swine	Usa	?	Swine	swine	Swine
A/swine/Kansas/A02861756/2023	OR597070	H3N2	2023-08-30	Swine	Usa	?	Swine	swine	Swine
A/Michigan/UM-10052407968/2023	OR560930	H3N2	2023-07-19	Human	Usa	?	Human	human	Human
A/swine/Indiana/A02861625/2023	OR533400	H3N2	2023-06-29	Swine	Usa	?	Swine	swine	Swine
A/swine/Nebraska/A02861598/2023	OR505003	H3N2	2023-06-22	Swine	Usa	?	Swine	swine	Swine
A/swine/Iowa/A02861602/2023	OR505005	H3N2	2023-06-22	Swine	Usa	?	Swine	swine	Swine
A/swine/Nebraska/A02861613/2023	OR505009	H3N2	2023-07-17	Swine	Usa	?	Swine	swine	Swine
A/swine/Ohio/A02861681/2023	OR505015	H3N2	2023-07-24	Swine	Usa	?	Swine	swine	Swine
A/swine/Indiana/A02861694/2023	OR505027	H3N2	2023-07-31	Swine	Usa	?	Swine	swine	Swine
A/Michigan/UOM10049137161/2023	OR495931	H3N2	2023-01-03	Human	Usa	?	Human	human	Human
A/swine/Utah/A02861636/2023	OR480693	H3N2	2023-07-06	Swine	Usa	?	Swine	swine	Swine
A/swine/Minnesota/A02861661/2023	OR480717	H3N2	2023-07-14	Swine	Usa	?	Swine	swine	Swine
A/swine/Pennsylvania/A02861673/2023	OR413807	H3N2	2023-07-07	Swine	Usa	?	Swine	swine	Swine
A/swine/Kansas/A02978505/2023	OR397525	H3N2	2023-05-04	Swine	Usa	?	Swine	swine	Swine
A/swine/Minnesota/A02978530/2023	OR397527	H3N2	2023-06-09	Swine	Usa	?	Swine	swine	Swine
A/swine/Indiana/A02861589/2023	OR334427	H3N2	2023-06-15	Swine	Usa	?	Swine	swine	Swine
A/swine/Iowa/A02861505/2023	OR293249	H3N2	2023-05-11	Swine	Usa	?	Swine	swine	Swine
A/swine/Iowa/21TOSU0768/2021	OR266585	H3N2	2021-05-27	Swine	Usa	?	Swine	swine	Swine
A/swine/Colorado/A02978450/2023	OR243348	H3N2	2023-03-13	Swine	Usa	?	Swine	swine	Swine
A/swine/Iowa/A02978451/2023	OR243379	H3N2	2023-03-08	Swine	Usa	?	Swine	swine	Swine
A/swine/Minnesota/A02978449/2023	OR243387	H3N2	2023-03-14	Swine	Usa	?	Swine	swine	Swine
A/swine/Kansas/A02978429/2023	OR243397	H3N2	2023-02-10	Swine	Usa	?	Swine	swine	Swine
A/swine/Iowa/A02978443/2023	OR243398	H3N2	2023-02-24	Swine	Usa	?	Swine	swine	Swine
